idx,name,played,xg,xgConceded,xPoints,xgDiff,xgConcededDiff,pts
1,Barcelona,38,78.47440016269684,41.95000001788139,76.86536078632587,0.5255998373031616,2.0499999821186066,85
2,Real Madrid,38,69.76420041918755,35.84470011293888,74.50568964274169,17.235799580812454,-9.844700112938881,95
3,Atletico Madrid,38,63.02090010046959,39.844700276851654,67.75806516978074,6.979099899530411,3.155299723148346,76
4,Girona,38,71.81500044465065,55.33110040426254,63.56037276473729,13.18499955534935,-9.331100404262543,81
5,Athletic Club,38,53.23600025475025,41.94819977134466,58.83257780629809,7.763999745249748,-4.948199771344662,68
6,Real Sociedad,38,45.49999979138374,42.014300011098385,54.506720717145555,5.500000208616257,-3.014300011098385,60
7,Villarreal,38,56.68329958617687,59.24300003051758,52.74478704172331,8.316700413823128,5.756999969482422,53
8,Deportivo Alaves,38,46.554699659347534,45.19290003180504,51.99584700329753,-10.554699659347534,0.8070999681949615,46
9,Rayo Vallecano,38,42.70370011031628,45.02939987182617,51.15674361899037,-13.703700110316277,2.970600128173828,38
10,Real Betis,38,44.58340001106262,50.780799716711044,50.16937851462984,3.416599988937378,-5.780799716711044,57
11,Mallorca,38,41.20349998772144,43.557400450110435,50.04539754117186,-8.203499987721443,0.4425995498895645,40
12,Valencia,38,43.41349981725216,48.07219985872507,49.169039158540876,-3.413499817252159,-3.072199858725071,49
13,Celta Vigo,38,51.205099657177925,55.12649983167648,48.845843934285895,-5.205099657177925,1.8735001683235168,41
14,Osasuna,38,40.99650013446808,50.40549983084202,46.73057749890605,4.003499865531921,5.594500169157982,45
15,Getafe,38,46.124500289559364,54.38299983739853,45.67093815711958,-4.124500289559364,-0.38299983739852905,43
16,Sevilla,38,45.16869970411062,56.74599975347519,43.30569248842851,2.8313002958893776,-2.745999753475189,41
17,Almeria,38,49.3727997764945,62.0615995824337,43.17933080901533,-6.372799776494503,12.9384004175663,21
18,Cadiz,38,36.545699775218964,52.90619999170303,42.723916964334066,-10.545699775218964,2.0938000082969666,33
19,Granada,38,42.9866001419723,64.83560022711754,37.54244076147777,-4.986600141972303,14.164399772882462,21
20,Las Palmas,38,33.406499803066254,57.48590001836419,37.44152282676945,-0.40649980306625366,-10.485900018364191,40
